home_team,away_team,home_team_continent,away_team_continent,home_team_fifa_rank,away_team_fifa_rank,home_team_score,away_team_score,tournament,city,neutral_location,shoot_out,home_team_result
Israel,Finland,Europe,Europe,66,45,1,3,FIFA World Cup qualification,Ramat-Gan,FALSE,No,Lose
Portugal,Estonia,Europe,Europe,20,119,3,0,FIFA World Cup qualification,Lisbon,FALSE,No,Win
Turkey,Norway,Europe,Europe,67,2,2,1,FIFA World Cup qualification,Istanbul,FALSE,No,Win
USA,Cayman Islands,North America,North America,26,156,8,1,Friendly,Mission Viejo,FALSE,No,Win
Argentina,Australia,South America,Oceania,9,61,1,0,FIFA World Cup qualification,Buenos Aires,FALSE,No,Win
France,Bulgaria,Europe,Europe,14,32,1,2,FIFA World Cup qualification,Paris,FALSE,No,Lose
Germany,Brazil,Europe,South America,4,1,2,1,Friendly,Cologne,FALSE,No,Win
Greece,Russia,Europe,Europe,36,11,1,0,FIFA World Cup qualification,Athens,FALSE,No,Win
Italy,Portugal,Europe,Europe,3,20,1,0,FIFA World Cup qualification,Milan,FALSE,No,Win
Malta,Scotland,Europe,Europe,84,29,0,2,FIFA World Cup qualification,Attard,FALSE,No,Lose
Northern Ireland,Republic of Ireland,Europe,Europe,42,11,1,1,FIFA World Cup qualification,Belfast,FALSE,No,Draw
Poland,Netherlands,Europe,Europe,23,6,1,3,FIFA World Cup qualification,Poznań,FALSE,No,Lose
San Marino,England,Europe,Europe,122,10,1,7,FIFA World Cup qualification,Bologna,TRUE,No,Lose
Spain,Denmark,Europe,Europe,7,5,1,0,FIFA World Cup qualification,Seville,FALSE,No,Win
Switzerland,Estonia,Europe,Europe,13,119,4,0,FIFA World Cup qualification,Zürich,FALSE,No,Win
Wales,Romania,Europe,Europe,28,15,1,2,FIFA World Cup qualification,Cardiff,FALSE,No,Lose
Gambia,Mauritania,Africa,Africa,153,144,2,4,Friendly,Banjul,FALSE,No,Lose
Gambia,Ghana,Africa,Africa,153,41,3,0,Friendly,Freetown,TRUE,No,Win
Sierra Leone,Guinea,Africa,Africa,84,62,1,1,Amílcar Cabral Cup,Freetown,FALSE,No,Draw
Guinea-Bissau,Mauritania,Africa,Africa,132,144,1,0,Amílcar Cabral Cup,Freetown,TRUE,No,Win
Senegal,Mali,Africa,Africa,63,75,0,1,Amílcar Cabral Cup,Freetown,TRUE,No,Lose
Guinea,Gambia,Africa,Africa,62,153,1,2,Amílcar Cabral Cup,Freetown,TRUE,No,Lose
Sierra Leone,Ghana,Africa,Africa,84,41,2,3,Friendly,Freetown,FALSE,No,Lose
Mali,Guinea-Bissau,Africa,Africa,75,132,3,0,Amílcar Cabral Cup,Freetown,TRUE,No,Win
Senegal,Mauritania,Africa,Africa,63,144,4,0,Amílcar Cabral Cup,Freetown,TRUE,No,Win
Ghana,Guinea,Africa,Africa,41,62,1,0,Friendly,Freetown,TRUE,No,Win
Sierra Leone,Gambia,Africa,Africa,84,153,1,1,Amílcar Cabral Cup,Freetown,FALSE,No,Draw
Tahiti,Fiji,Oceania,Oceania,138,107,3,0,Friendly,Papeete,FALSE,No,Win
Kenya,Uganda,Africa,Africa,72,95,2,1,Friendly,Nairobi,FALSE,No,Win
Mali,Mauritania,Africa,Africa,75,144,0,0,Amílcar Cabral Cup,Freetown,TRUE,No,Draw
Senegal,Guinea-Bissau,Africa,Africa,63,132,0,0,Amílcar Cabral Cup,Freetown,TRUE,No,Draw
Gambia,Senegal,Africa,Africa,153,63,0,2,Amílcar Cabral Cup,Freetown,TRUE,No,Lose
Sierra Leone,Mali,Africa,Africa,84,75,2,0,Amílcar Cabral Cup,Freetown,FALSE,No,Win
Gambia,Mali,Africa,Africa,153,75,2,0,Amílcar Cabral Cup,Freetown,TRUE,No,Win
Sierra Leone,Senegal,Africa,Africa,84,63,2,0,Amílcar Cabral Cup,Freetown,FALSE,No,Win
USA,El Salvador,North America,North America,27,65,7,0,Friendly,Mission Viejo,FALSE,No,Win
Tanzania,Uganda,Africa,Africa,101,95,1,0,Friendly,Nairobi,TRUE,No,Win
Bangladesh,Myanmar,Asia,Asia,122,109,3,1,Friendly,Dhaka,FALSE,No,Win
Kenya,Tanzania,Africa,Africa,72,101,2,1,Friendly,Nairobi,FALSE,No,Win
Argentina,Germany,South America,Europe,9,3,2,1,Friendly,Miami,TRUE,No,Win
Mexico,Brazil,North America,South America,17,4,0,1,Friendly,Guadalajara,FALSE,No,Lose
USA,Germany,North America,Europe,27,3,0,3,Friendly,Palo Alto,FALSE,No,Lose
Mali,Côte d'Ivoire,Africa,Africa,75,34,0,1,Friendly,Bamako,FALSE,No,Lose
Mexico,Germany,North America,Europe,17,3,0,0,Friendly,Mexico City,FALSE,No,Draw
Ghana,Egypt,Africa,Africa,37,26,0,0,Friendly,Accra,FALSE,No,Draw
Ghana,Tunisia,Africa,Africa,37,32,1,1,Friendly,Accra,FALSE,No,Draw
Barbados,Grenada,North America,North America,114,143,0,0,Friendly,Bridgetown,FALSE,No,Draw
Ghana,Egypt,Africa,Africa,37,26,2,1,Friendly,Accra,FALSE,No,Win
Mali,Burkina Faso,Africa,Africa,70,127,1,1,Friendly,Bamako,FALSE,No,Draw
Mauritania,Mali,Africa,Africa,144,70,1,3,Friendly,Nouakchott,FALSE,No,Lose
Thailand,Nigeria,Asia,Africa,69,18,1,1,Friendly,Bangkok,FALSE,No,Draw
USA,Norway,North America,Europe,22,4,2,1,Friendly,Tempe,FALSE,No,Win
Guinea,Côte d'Ivoire,Africa,Africa,63,33,3,0,Friendly,Conakry,FALSE,No,Win
Costa Rica,Norway,North America,Europe,42,4,0,0,Friendly,San Diego,TRUE,No,Draw
